ltla	eigenCentral
E07000213	0.009229839610542823
E09000028	0.39376304760004527
E09000014	0.18102133956521135
E07000211	0.005499511616458101
E08000003	0.003367522734355345
E07000109	0.0015642406139462445
E09000022	0.17193590746863788
E09000024	0.09109758405338293
E07000098	0.011924247596770113
E07000063	0.0002609216930903562
E06000051	7.5767224741497756e-06
E07000071	0.0006560534683511482
E08000026	0.0009537054334536342
E09000025	0.17765818909947317
E09000004	0.029191546097758973
E07000245	2.313979241040411e-05
E09000033	0.47282569560076
E09000010	0.09156589485125474
E09000002	0.0345149187783274
E09000027	0.050016851980765886
E07000207	0.00406352459962079
E09000005	0.137300523891986
E06000043	0.0030848615449852
E09000032	0.19055696254362514
E09000011	0.08904600759802331
E09000008	0.08395485749319806
E06000032	0.00493531335159122
E09000012	0.22252655331305565
E09000006	0.06782336683382517
E09000009	0.11893715525164748
E07000212	0.0007202956781658628
E07000042	5.059086450349597e-05
E06000027	6.594753718291359e-06
E07000045	5.90414962164211e-05
E09000021	0.020450766128320984
E07000164	3.1863898085860124e-05
E06000059	4.243308153699054e-05
E07000225	1.9928361801542227e-05
E07000147	2.8508260194431667e-06
E07000047	4.112447497825965e-06
E07000241	0.0017492779170544194
E07000165	2.3994490979862856e-05
E07000094	0.00043372474927788027
E07000181	6.859765004609817e-06
E06000047	0.0003270531725795477
E06000026	0.0004638654465044458
E07000239	1.0650685499492739e-05
E07000044	3.0972940916901665e-05
E07000041	0.0007934646941330822
E09000026	0.09069287663983464
E09000015	0.07336761951849256
E06000044	0.0010037648927498026
E07000029	7.444191208140562e-10
E09000017	0.06659634701091725
E07000011	0.0005571933714055724
E07000026	3.863054489261761e-08
E09000018	0.05083034640956902
E06000020	6.627024582989534e-06
E06000031	0.0020061726554533306
E07000010	3.606798467584765e-05
E09000029	0.035910429892437964
E09000003	0.14372367463342087
E07000218	0.00012372656411567865
E09000020	0.14073741429522604
E06000052	4.08326911324646e-05
E07000085	0.00026640777422279853
E09000007	0.3823467065370134
E07000146	0.00021785418751729351
E07000192	2.6721656558245722e-05
E07000070	0.0010926036725798897
E07000214	9.598790288843503e-05
E07000119	3.8968750173798384e-85
E08000004	0.0003485762870573265
E08000028	0.001378116374413161
E08000008	0.00046667623123855295
E09000031	0.09299517251466688
E07000103	0.009376549076191584
E08000007	0.001324950127338631
E09000019	0.21856129920056433
E07000068	0.0011838716404803744
E06000057	3.642295101539302e-05
E06000011	7.579884416806186e-05
E07000237	4.660294765393954e-05
E06000010	0.0002791168289040451
E06000045	0.000908276512274121
E07000069	0.0004193427396304197
E06000016	0.0008347552505164748
E07000172	0.00015420991807026522
E08000027	0.0005495513567565184
E06000030	0.0009916118189997845
E06000035	0.002822211559341845
E07000246	0.00040672342925124105
E07000220	0.000675577336688277
E07000243	0.0014535737068219932
E07000107	0.0088034603889104
E07000130	0.0002306291415231145
E06000034	0.004439922605223763
E06000054	0.0007584567875866785
E06000058	0.00042121673519050074
E07000066	0.0018391334055899555
E06000007	0.0001881338314504898
E07000065	0.00011741054831557124
E09000030	0.23242611081539966
E07000095	0.007408030605883008
E07000242	0.0009149702587757921
E08000005	0.00022846519876750277
E06000033	0.0010120016377208854
E07000136	1.369661262517768e-07
E07000073	0.0009991182139800511
E06000022	0.0011878284117154976
E07000089	0.0002495073464203142
E07000008	0.0030169271570350677
E07000154	0.001463933836047214
E07000032	5.502226834761667e-06
E07000228	0.0013283240548889964
E07000149	9.810367664824429e-05
E07000113	0.0007497100272286847
E07000075	0.00040262878270333827
E07000072	0.012793603847269243
E07000209	0.002394258520216358
E08000011	0.00033725760168485156
E07000134	8.05350147432915e-06
E07000080	1.9167466372937674e-06
E08000037	0.0014149307915621774
E07000198	1.392543537215825e-05
E07000133	2.516003731581835e-06
E07000144	9.636352936282107e-05
E06000039	0.0059046559998026885
E07000116	0.0008784470526328688
E07000173	0.00017921417187070313
E06000050	8.977290385793727e-05
E06000041	0.0012709773209669463
E07000084	0.00100983011561547
E07000177	0.001487210922368476
E06000060	0.004661229272948692
E08000032	0.00020275379383759333
E07000096	0.0016768469227555623
E07000196	3.003920320587298e-05
E06000042	0.00287949449767293
E08000035	0.0013657980186171346
E08000024	9.495252829530252e-05
E07000217	0.002376436674121326
E06000012	1.9852925206790255e-08
E07000137	4.4430895552283453e-08
E07000061	0.0004588328136852825
E08000025	0.004173974276467
E08000021	0.00045696205722821456
E06000019	1.9340441259403085e-06
E07000195	2.711627498634525e-05
E07000106	0.0006460102591106727
E07000179	0.0009149468371598688
E09000013	0.1709440285889216
E06000056	0.002942663161265636
E06000023	0.002679538563784962
E07000129	0.00017230656706064738
E06000025	0.0013054426343200522
E07000235	2.214670216616619e-06
E07000081	0.00022950988916965232
E07000099	0.0013345635025053333
E07000091	7.208943990458251e-05
E07000074	2.207078712395542e-05
E06000018	0.0009425971928797584
E08000019	0.0007524523193640503
E08000029	0.0016076530655767562
E08000030	0.0004272743395536623
E07000110	0.0007819846403460916
E07000108	0.00021616000765450834
E07000174	6.380968455806506e-06
E07000170	3.5766773064198244e-05
E08000018	9.997187826142308e-05
E07000033	4.369232675927642e-06
E08000012	0.0015880530342390563
E08000014	0.00024010202857968567
E07000208	0.003955814088208119
E07000111	0.0025585282167253334
E07000216	0.0006943196012472177
E07000169	7.436822082338748e-06
E07000197	0.00036138561151198144
E08000009	0.0010044097608962542
E06000046	5.815312443644236e-06
E07000046	9.183235182518925e-08
E09000023	0.13485894013726535
E07000078	1.718923793849571e-05
E07000141	0.000610532526712299
E07000140	1.0198899517617203e-05
E06000006	3.2590017503025814e-05
E07000132	2.317842593139827e-05
E07000152	2.0222026115256656e-05
